type,involved_person,datetime,operation,operation_name,location,latitude,longitude,street_id,street_name,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,removal_of_more_than_outer_clothing
Person search,True,2022-01-01T02:15:00+00:00,False,,"52.068355, 1.159845",52.068355,1.159845,1136630,On or near Park North,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Community resolution,False,False
Person search,True,2022-01-01T02:30:00+00:00,False,,"52.056531, 1.156019",52.056531,1.156019,1135704,On or near Shopping Area,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,A no further action disposal,False,False
Person search,True,2022-01-01T03:15:00+00:00,False,,,,,,,Male,10-17,,Other,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,True,2022-01-01T03:15:00+00:00,False,,"52.075990, 1.126492",52.075990,1.126492,1137515,On or near Broadway Lane,Male,10-17,,Other,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,True,2022-01-01T07:00:00+00:00,False,,"52.054394, 1.157239",52.054394,1.157239,1135743,On or near Foundation Street,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-01T17:20:00+00:00,False,,"52.061135, 1.271398",52.061135,1.271398,1136208,On or near Parking Area,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,True,2022-01-01T17:28:00+00:00,False,,"52.058423, 1.149864",52.058423,1.149864,1135653,On or near Westgate Street,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,True,2022-01-01T19:30:00+00:00,False,,"52.055870, 1.157212",52.055870,1.157212,1135718,On or near Tacket Street,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-01T23:30:00+00:00,False,,"52.053919, 1.160868",52.053919,1.160868,1135706,On or near Parking Area,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,True,2022-01-02T14:45:00+00:00,True,,"52.059139, 1.145289",52.059139,1.145289,1135674,On or near Crescent Road,Female,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-02T17:45:00+00:00,False,,"52.056858, 1.155239",52.056858,1.155239,1135761,On or near Shopping Area,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,True,False
Person search,True,2022-01-02T18:30:00+00:00,False,,"52.027465, 1.204871",52.027465,1.204871,1134704,On or near Nacton Road,Female,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of wildlife offences,Community resolution,True,False
Person search,True,2022-01-02T20:27:00+00:00,False,,"52.036817, 0.748557",52.036817,0.748557,1134535,On or near Hawthorn Road,Male,25-34,White - Any other White background,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,True
Person search,True,2022-01-02T22:25:00+00:00,False,,"52.057924, 1.161764",52.057924,1.161764,1135711,On or near Woodbridge Road,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,True,2022-01-03T00:45:00+00:00,False,,"52.055897, 1.154515",52.055897,1.154515,1135736,On or near Old Cattle Market,Female,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,True,2022-01-03T00:45:00+00:00,False,,"52.055897, 1.154515",52.055897,1.154515,1135736,On or near Old Cattle Market,Female,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,False,False
Person search,True,2022-01-03T05:00:00+00:00,False,,"52.247015, 0.708294",52.247015,0.708294,1140562,On or near Nelson Road,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-03T11:30:00+00:00,False,,"52.038809, 1.126841",52.038809,1.126841,1135086,On or near Chesterton Close,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,True,2022-01-03T14:30:00+00:00,False,,"51.975753, 1.329732",51.975753,1.329732,1134015,On or near High Street,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,True,2022-01-03T21:06:00+00:00,False,,"52.059576, 1.151813",52.059576,1.151813,1135672,On or near Crown Street,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,True,2022-01-05T00:15:00+00:00,False,,"52.056035, 1.153387",52.056035,1.153387,1135745,On or near Falcon Street,Female,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,False,False
Person search,True,2022-01-05T00:15:00+00:00,False,,"52.056035, 1.153387",52.056035,1.153387,1135745,On or near Falcon Street,Female,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,False,False
Person search,True,2022-01-05T01:12:00+00:00,False,,"52.051307, 1.166037",52.051307,1.166037,1135940,On or near Pownall Road,Male,25-34,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
